Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,0.728131,0.730428,0.722152,0.728332,0.728332,0
2017-09-14,0.725079,0.725958,0.718659,0.724958,0.724958,0
2017-09-15,0.723019,0.729927,0.721360,0.722961,0.722961,0
2017-09-18,0.729060,0.734430,0.725932,0.728932,0.728932,0
2017-09-19,0.726480,0.732118,0.726449,0.726559,0.726559,0
2017-09-20,0.731352,0.739208,0.730674,0.731459,0.731459,0
2017-09-21,0.733541,0.734139,0.729991,0.733369,0.733369,0
2017-09-22,0.729820,0.734592,0.728178,0.730012,0.730012,0
2017-09-25,0.728980,0.729607,0.725400,0.729091,0.729091,0
2017-09-26,0.726892,0.726892,0.718019,0.727310,0.727310,0
2017-09-27,0.720290,0.722491,0.717839,0.720362,0.720362,0
2017-09-28,0.721771,0.723411,0.716830,0.721641,0.721641,0
2017-09-29,0.722069,0.724391,0.720851,0.722282,0.722282,0
2017-10-02,0.721761,0.721902,0.717041,0.721928,0.721928,0
2017-10-03,0.719171,0.719171,0.715021,0.719228,0.719228,0
2017-10-04,0.716240,0.720378,0.715569,0.716332,0.716332,0
2017-10-05,0.715861,0.716651,0.711739,0.715722,0.715722,0
2017-10-06,0.711460,0.711642,0.706050,0.711359,0.711359,0
2017-10-09,0.707119,0.708717,0.706464,0.707119,0.707119,0
2017-10-10,0.706679,0.708828,0.705931,0.706609,0.706609,0
2017-10-11,0.707359,0.709925,0.706364,0.707379,0.707379,0
2017-10-12,0.710031,0.713114,0.708999,0.709849,0.709849,0
2017-10-13,0.713028,0.719632,0.712301,0.712992,0.712992,0
2017-10-16,0.717880,0.719683,0.716872,0.717721,0.717721,0
2017-10-17,0.718742,0.718804,0.714858,0.718509,0.718509,0
2017-10-18,0.717582,0.717751,0.712058,0.717659,0.717659,0
2017-10-19,0.715681,0.716980,0.701262,0.715482,0.715482,0
2017-10-20,0.703200,0.703200,0.695560,0.703052,0.703052,0
2017-10-23,0.694189,0.698968,0.693419,0.694218,0.694218,0
2017-10-24,0.698480,0.700001,0.689479,0.698319,0.698319,0
2017-10-25,0.690570,0.691281,0.686262,0.690369,0.690369,0
2017-10-26,0.689061,0.690279,0.684130,0.689360,0.689360,0
2017-10-27,0.684130,0.687578,0.681979,0.683761,0.683761,0
2017-10-30,0.686229,0.687049,0.683462,0.686139,0.686139,0
2017-10-31,0.687380,0.687380,0.683382,0.688241,0.688241,0
2017-11-01,0.690241,0.693130,0.688459,0.690489,0.690489,0
2017-11-02,0.689251,0.693842,0.689251,0.689232,0.689232,0
2017-11-03,0.691290,0.694951,0.690060,0.691300,0.691300,0
2017-11-06,0.690808,0.691998,0.687668,0.690942,0.690942,0
2017-11-07,0.694252,0.695430,0.689308,0.694131,0.694131,0
2017-11-08,0.691271,0.693900,0.689931,0.691061,0.691061,0
2017-11-09,0.695730,0.698051,0.693462,0.695570,0.695570,0
2017-11-10,0.694411,0.695812,0.692252,0.694459,0.694459,0
2017-11-13,0.692713,0.693780,0.689650,0.692540,0.692540,0
2017-11-14,0.689812,0.690322,0.684749,0.689831,0.689831,0
2017-11-15,0.688089,0.691960,0.686328,0.687881,0.687881,0
2017-11-16,null,null,null,null,null,null
2017-11-17,0.685570,0.688369,0.678159,0.685551,0.685551,0
2017-11-20,0.680129,0.683990,0.679990,0.680101,0.680101,0
2017-11-21,0.681199,0.684182,0.679242,0.681199,0.681199,0
2017-11-22,0.684660,0.686577,0.682198,0.684660,0.684660,0
2017-11-23,0.687380,0.690608,0.686912,0.687441,0.687441,0
2017-11-24,0.688971,0.689522,0.686709,0.688990,0.688990,0
2017-11-27,0.687380,0.692670,0.685462,0.687238,0.687238,0
2017-11-28,0.692238,0.694686,0.691702,0.692022,0.692022,0
2017-11-29,0.690131,0.693193,0.687890,0.690112,0.690112,0
2017-11-30,0.686431,0.686978,0.683368,0.688478,0.688478,0
2017-12-01,0.683200,0.691209,0.682231,0.683181,0.683181,0
2017-12-04,0.685551,0.687285,0.684158,0.685528,0.685528,0
2017-12-05,0.686662,0.690799,0.685622,0.686799,0.686799,0
2017-12-06,0.687569,0.691668,0.687229,0.687512,0.687512,0
2017-12-07,0.688772,0.688961,0.683060,0.688601,0.688601,0
2017-12-08,0.682729,0.687040,0.682380,0.682720,0.682720,0
2017-12-11,0.684299,0.693030,0.684219,0.684252,0.684252,0
2017-12-12,0.690918,0.695507,0.690298,0.690961,0.690961,0
2017-12-13,0.693919,0.699922,0.693577,0.693828,0.693828,0
2017-12-14,0.702252,0.702252,0.698061,0.702430,0.702430,0
2017-12-15,0.698890,0.703472,0.698690,0.698959,0.698959,0
2017-12-18,0.699722,0.702899,0.699722,0.699849,0.699849,0
2017-12-19,0.698998,0.702198,0.698002,0.699482,0.699482,0
2017-12-20,0.697102,0.698714,0.695551,0.697092,0.697092,0
2017-12-21,0.701838,0.702060,0.698851,0.701631,0.701631,0
2017-12-22,0.701439,0.702800,0.700550,0.701429,0.701429,0
2017-12-25,0.701508,0.704573,0.701311,0.701508,0.701508,0
2017-12-26,0.702681,0.704077,0.701149,0.702800,0.702800,0
2017-12-27,0.703260,0.707814,0.703121,0.703250,0.703250,0
2017-12-28,0.706999,0.710076,0.706999,0.706969,0.706969,0
2017-12-29,0.709341,0.712606,0.709109,0.709341,0.709341,0
2018-01-01,0.711389,0.721397,0.706115,0.711389,0.711389,0
2018-01-02,0.708918,0.713089,0.708898,0.708818,0.708818,0
2018-01-03,0.710071,0.711389,0.707469,0.710021,0.710021,0
2018-01-04,0.708848,0.715129,0.707569,0.709019,0.709019,0
2018-01-05,0.715922,0.718752,0.714628,0.715599,0.715599,0
2018-01-08,0.717231,0.718520,0.715748,0.717041,0.717041,0
2018-01-09,0.717432,0.719891,0.716420,0.717540,0.717540,0
2018-01-10,0.714628,0.722919,0.714311,0.714449,0.714449,0
2018-01-11,0.720658,0.724690,0.718422,0.720648,0.720648,0
2018-01-12,0.726269,0.727648,0.722162,0.726079,0.726079,0
2018-01-15,0.724890,0.731904,0.724890,0.724900,0.724900,0
2018-01-16,0.729671,0.730818,0.726058,0.729661,0.729661,0
2018-01-17,0.726612,0.729607,0.723631,0.726892,0.726892,0
2018-01-18,0.727220,0.732225,0.724911,0.727289,0.727289,0
2018-01-19,0.729538,0.732601,0.727569,0.729650,0.729650,0
2018-01-22,0.728698,0.732998,0.726929,0.728831,0.728831,0
2018-01-23,0.732011,0.736420,0.730759,0.731909,0.731909,0
2018-01-24,0.736231,0.742887,0.735240,0.736290,0.736290,0
2018-01-25,0.734252,0.739208,0.733800,0.733719,0.733719,0
2018-01-26,0.731112,0.737681,0.730818,0.731080,0.731080,0
2018-01-29,0.736279,0.736442,0.730380,0.736269,0.736269,0
2018-01-30,0.732579,0.735727,0.728290,0.732509,0.732509,0
2018-01-31,0.733950,0.742115,0.733843,0.733988,0.733988,0
2018-02-01,0.737501,0.739990,0.733611,0.737588,0.737588,0
2018-02-02,0.740012,0.740012,0.730199,0.739793,0.739793,0
2018-02-05,0.728428,0.733192,0.728088,0.728221,0.728221,0
2018-02-06,0.726480,0.731930,0.725879,0.726691,0.726691,0
2018-02-07,0.733063,0.733810,0.727802,0.733159,0.733159,0
2018-02-08,0.723081,0.723552,0.717870,0.722752,0.722752,0
2018-02-09,0.722408,0.725800,0.720119,0.722611,0.722611,0
2018-02-12,0.724638,0.727770,0.723322,0.724669,0.724669,0
2018-02-13,0.726111,0.731438,0.724890,0.726301,0.726301,0
2018-02-14,0.728210,0.734873,0.724412,0.728269,0.728269,0
2018-02-15,0.737469,0.741021,0.736990,0.737441,0.737441,0
2018-02-16,0.740088,0.743699,0.738242,0.739891,0.739891,0
2018-02-19,0.738929,0.741125,0.735532,0.738793,0.738793,0
2018-02-20,0.736372,0.737398,0.733929,0.736388,0.736388,0
2018-02-21,0.734139,0.735900,0.732816,0.734231,0.734231,0
2018-02-22,0.731550,0.736518,0.730898,0.731679,0.731679,0
2018-02-23,0.732048,0.732977,0.727368,0.732402,0.732402,0
2018-02-26,0.728300,0.734700,0.728242,0.727908,0.727908,0
2018-02-27,0.729060,0.730407,0.723872,0.729139,0.729139,0
2018-02-28,0.723071,0.724585,0.721111,0.723521,0.723521,0
2018-03-01,0.720658,0.725458,0.718788,0.720762,0.720762,0
2018-03-02,0.726143,0.727998,0.722852,0.726143,0.726143,0
2018-03-05,0.723338,0.724312,0.720492,0.723061,0.723061,0
2018-03-06,0.722528,0.731090,0.722272,0.722512,0.722512,0
2018-03-07,0.728337,0.730018,0.725658,0.728300,0.728300,0
2018-03-08,0.728852,0.729799,0.724680,0.728698,0.728698,0
2018-03-09,0.725979,0.729980,0.725100,0.726048,0.726048,0
2018-03-12,0.731101,0.732418,0.729001,0.730834,0.730834,0
2018-03-13,0.730092,0.735462,0.729970,0.730119,0.730119,0
2018-03-14,0.732928,0.735727,0.731989,0.732987,0.732987,0
2018-03-15,0.731352,0.733530,0.728200,0.731550,0.731550,0
2018-03-16,0.726992,0.727072,0.720918,0.727088,0.727088,0
2018-03-19,0.722721,0.723029,0.719730,0.722752,0.722752,0
2018-03-20,0.724270,0.724958,0.719021,0.724302,0.724302,0
